host_subject_id,filename1,filename2
WSH217,WSH217_S195_L001_R1_001.fastq.gz,WSH217_S195_L001_R2_001.fastq.gz
WSH218,WSH218_S202_L001_R1_001.fastq.gz,WSH218_S202_L001_R2_001.fastq.gz
WSH219,WSH219_S209_L001_R1_001.fastq.gz,WSH219_S209_L001_R2_001.fastq.gz
WSH220,WSH220_S216_L001_R1_001.fastq.gz,WSH220_S216_L001_R2_001.fastq.gz
WSH221,WSH221_S223_L001_R1_001.fastq.gz,WSH221_S223_L001_R2_001.fastq.gz
WSH222,WSH222_S230_L001_R1_001.fastq.gz,WSH222_S230_L001_R2_001.fastq.gz
WSH223,WSH223_S237_L001_R1_001.fastq.gz,WSH223_S237_L001_R2_001.fastq.gz
WSH224,WSH224_S244_L001_R1_001.fastq.gz,WSH224_S244_L001_R2_001.fastq.gz
WSH225,WSH225_S196_L001_R1_001.fastq.gz,WSH225_S196_L001_R2_001.fastq.gz
WSH226,WSH226_S203_L001_R1_001.fastq.gz,WSH226_S203_L001_R2_001.fastq.gz
WSH227,WSH227_S210_L001_R1_001.fastq.gz,WSH227_S210_L001_R2_001.fastq.gz
WSH228,WSH228_S217_L001_R1_001.fastq.gz,WSH228_S217_L001_R2_001.fastq.gz
WSH229,WSH229_S224_L001_R1_001.fastq.gz,WSH229_S224_L001_R2_001.fastq.gz
WSH230,WSH230_S231_L001_R1_001.fastq.gz,WSH230_S231_L001_R2_001.fastq.gz
WSH231,WSH231_S238_L001_R1_001.fastq.gz,WSH231_S238_L001_R2_001.fastq.gz
WSH232,WSH232_S245_L001_R1_001.fastq.gz,WSH232_S245_L001_R2_001.fastq.gz
WSH233,WSH233_S197_L001_R1_001.fastq.gz,WSH233_S197_L001_R2_001.fastq.gz
WSH234,WSH234_S204_L001_R1_001.fastq.gz,WSH234_S204_L001_R2_001.fastq.gz
WSH235,WSH235_S211_L001_R1_001.fastq.gz,WSH235_S211_L001_R2_001.fastq.gz
WSH236,WSH236_S218_L001_R1_001.fastq.gz,WSH236_S218_L001_R2_001.fastq.gz
WSH237,WSH237_S225_L001_R1_001.fastq.gz,WSH237_S225_L001_R2_001.fastq.gz
WSH238,WSH238_S232_L001_R1_001.fastq.gz,WSH238_S232_L001_R2_001.fastq.gz
WSH239,WSH239_S239_L001_R1_001.fastq.gz,WSH239_S239_L001_R2_001.fastq.gz
WSH240,WSH240_S246_L001_R1_001.fastq.gz,WSH240_S246_L001_R2_001.fastq.gz
WSH241,WSH241_S198_L001_R1_001.fastq.gz,WSH241_S198_L001_R2_001.fastq.gz
WSH242,WSH242_S205_L001_R1_001.fastq.gz,WSH242_S205_L001_R2_001.fastq.gz
WSH243,WSH243_S212_L001_R1_001.fastq.gz,WSH243_S212_L001_R2_001.fastq.gz
WSH244,WSH244_S219_L001_R1_001.fastq.gz,WSH244_S219_L001_R2_001.fastq.gz
WSH245,WSH245_S226_L001_R1_001.fastq.gz,WSH245_S226_L001_R2_001.fastq.gz
WSH246,WSH246_S233_L001_R1_001.fastq.gz,WSH246_S233_L001_R2_001.fastq.gz
WSH247,WSH247_S240_L001_R1_001.fastq.gz,WSH247_S240_L001_R2_001.fastq.gz
WSH248,WSH248_S247_L001_R1_001.fastq.gz,WSH248_S247_L001_R2_001.fastq.gz
WSH249,WSH249_S199_L001_R1_001.fastq.gz,WSH249_S199_L001_R2_001.fastq.gz
WSH250,WSH250_S206_L001_R1_001.fastq.gz,WSH250_S206_L001_R2_001.fastq.gz
WSH251,WSH251_S213_L001_R1_001.fastq.gz,WSH251_S213_L001_R2_001.fastq.gz
WSH252,WSH252_S220_L001_R1_001.fastq.gz,WSH252_S220_L001_R2_001.fastq.gz
WSH253,WSH253_S227_L001_R1_001.fastq.gz,WSH253_S227_L001_R2_001.fastq.gz
WSH254,WSH254_S234_L001_R1_001.fastq.gz,WSH254_S234_L001_R2_001.fastq.gz
WSH255,WSH255_S241_L001_R1_001.fastq.gz,WSH255_S241_L001_R2_001.fastq.gz
WSH256,WSH256_S248_L001_R1_001.fastq.gz,WSH256_S248_L001_R2_001.fastq.gz
