sample_name,host_subject_id,method,filename1,filename2
16_WGBS,16,WGBS,16_S138_L003_R1_001.fastq.gz,16_S138_L003_R2_001.fastq.gz
17_WGBS,17,WGBS,17_S134_L003_R1_001.fastq.gz,17_S134_L003_R2_001.fastq.gz
18_WGBS,18,WGBS,18_S154_L003_R1_001.fastq.gz,18_S154_L003_R2_001.fastq.gz
2_WGBS,2,WGBS,2_S128_L003_R1_001.fastq.gz,2_S128_L003_R2_001.fastq.gz
21_WGBS,21,WGBS,21_S119_L003_R1_001.fastq.gz,21_S119_L003_R2_001.fastq.gz
22_WGBS,22,WGBS,22_S120_L003_R1_001.fastq.gz,22_S120_L003_R2_001.fastq.gz
23_WGBS,23,WGBS,23_S141_L003_R1_001.fastq.gz,23_S141_L003_R2_001.fastq.gz
24_WGBS,24,WGBS,24_S147_L003_R1_001.fastq.gz,24_S147_L003_R2_001.fastq.gz
25_WGBS,25,WGBS,25_S148_L003_R1_001.fastq.gz,25_S148_L003_R2_001.fastq.gz
26_WGBS,26,WGBS,26_S121_L003_R1_001.fastq.gz,26_S121_L003_R2_001.fastq.gz
28_WGBS,28,WGBS,28_S122_L003_R1_001.fastq.gz,28_S122_L003_R2_001.fastq.gz
29_WGBS,29,WGBS,29_S153_L003_R1_001.fastq.gz,29_S153_L003_R2_001.fastq.gz
30_WGBS,30,WGBS,30_S124_L003_R1_001.fastq.gz,30_S124_L003_R2_001.fastq.gz
31_WGBS,31,WGBS,31_S127_L003_R1_001.fastq.gz,31_S127_L003_R2_001.fastq.gz
32_WGBS,32,WGBS,32_S130_L003_R1_001.fastq.gz,32_S130_L003_R2_001.fastq.gz
33_WGBS,33,WGBS,33_S142_L003_R1_001.fastq.gz,33_S142_L003_R2_001.fastq.gz
34_WGBS,34,WGBS,34_S136_L003_R1_001.fastq.gz,34_S136_L003_R2_001.fastq.gz
35_WGBS,35,WGBS,35_S137_L003_R1_001.fastq.gz,35_S137_L003_R2_001.fastq.gz
37_WGBS,37,WGBS,37_S140_L003_R1_001.fastq.gz,37_S140_L003_R2_001.fastq.gz
38_WGBS,38,WGBS,38_S129_L003_R1_001.fastq.gz,38_S129_L003_R2_001.fastq.gz
39_WGBS,39,WGBS,39_S145_L003_R1_001.fastq.gz,39_S145_L003_R2_001.fastq.gz
4_WGBS,4,WGBS,4_S146_L003_R1_001.fastq.gz,4_S146_L003_R2_001.fastq.gz
40_WGBS,40,WGBS,40_S135_L003_R1_001.fastq.gz,40_S135_L003_R2_001.fastq.gz
41_WGBS,41,WGBS,41_S151_L003_R1_001.fastq.gz,41_S151_L003_R2_001.fastq.gz
42_WGBS,42,WGBS,42_S131_L003_R1_001.fastq.gz,42_S131_L003_R2_001.fastq.gz
43_WGBS,43,WGBS,43_S143_L003_R1_001.fastq.gz,43_S143_L003_R2_001.fastq.gz
44_WGBS,44,WGBS,44_S125_L003_R1_001.fastq.gz,44_S125_L003_R2_001.fastq.gz
45_WGBS,45,WGBS,45_S156_L003_R1_001.fastq.gz,45_S156_L003_R2_001.fastq.gz
46_WGBS,46,WGBS,46_S133_L003_R1_001.fastq.gz,46_S133_L003_R2_001.fastq.gz
47_WGBS,47,WGBS,47_S155_L003_R1_001.fastq.gz,47_S155_L003_R2_001.fastq.gz
50_WGBS,50,WGBS,50_S139_L003_R1_001.fastq.gz,50_S139_L003_R2_001.fastq.gz
51_WGBS,51,WGBS,51_S126_L003_R1_001.fastq.gz,51_S126_L003_R2_001.fastq.gz
52_WGBS,52,WGBS,52_S150_L003_R1_001.fastq.gz,52_S150_L003_R2_001.fastq.gz
54_WGBS,54,WGBS,54_S144_L003_R1_001.fastq.gz,54_S144_L003_R2_001.fastq.gz
55_WGBS,55,WGBS,55_S123_L003_R1_001.fastq.gz,55_S123_L003_R2_001.fastq.gz
56_WGBS,56,WGBS,56_S149_L003_R1_001.fastq.gz,56_S149_L003_R2_001.fastq.gz
57_WGBS,57,WGBS,57_S152_L003_R1_001.fastq.gz,57_S152_L003_R2_001.fastq.gz
58_WGBS,58,WGBS,58_S157_L003_R1_001.fastq.gz,58_S157_L003_R2_001.fastq.gz
59_WGBS,59,WGBS,59_S158_L003_R1_001.fastq.gz,59_S158_L003_R2_001.fastq.gz
6_WGBS,6,WGBS,6_S132_L003_R1_001.fastq.gz,6_S132_L003_R2_001.fastq.gz
